model,model_size,checkpoint,step,tokens,word1,word2,phrase_AB,phrase_BA,overall_freq,rel_freq,layer,n_sentences_AB,n_sentences_BA,norm_AB,norm_BA,sum_sigma,self_sim_AB,self_sim_BA,self_sim_ratio,procrustes_dist,rotation_cost
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,men,women,men and women,women and men,960,0.9208333333333332,12,500,500,121.57127380371094,119.65771484375,14484.9716796875,-0.0592308565974235,-0.0573866441845893,0.9688639922031048,0.0944026038050651,470.74517822265625
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,black,white,black and white,white and black,898,0.8864142538975501,12,500,500,110.02252960205078,111.19364166259766,12139.271484375,-0.0485096797347068,-0.0495552122592926,1.021553070032695,0.1241082698106765,220.5487518310547
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,day,night,day and night,night and day,709,0.6220028208744711,12,500,500,114.39366149902344,115.2531509399414,13059.875,-0.0524392500519752,-0.05323963239789,1.0152630395194733,0.1370371282100677,779.61962890625
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,boys,girls,boys and girls,girls and boys,1201,0.8226477935054122,12,500,500,119.48456573486328,117.20037078857422,13887.546875,-0.057212509214878,-0.055053811520338,0.962268781352826,0.1314638555049896,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,left,right,left and right,right and left,482,0.2551867219917012,12,500,500,108.20158386230467,108.33435821533205,11601.70703125,-0.046915765851736,-0.047039408236742,1.002635412270508,0.1431505680084228,329.7001953125
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,female,male,female and male,male and female,188,0.0319148936170212,12,500,500,102.83235931396484,98.38216400146484,10068.865234375,-0.0423798188567161,-0.0387937873601913,0.9153835105183205,0.1093868166208267,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,father,mother,father and mother,mother and father,1332,0.6981981981981982,12,500,500,86.85542297363281,84.2689437866211,7300.8564453125,-0.0302342679351568,-0.028461942449212,0.9413802414615812,0.0781823247671127,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,goods,services,goods and services,services and goods,46,1.0,12,500,500,128.39332580566406,127.55498504638672,16237.01171875,-0.0660585388541221,-0.0652115121483802,0.9871776348609166,0.1314410865306854,594.9751586914062
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,north,south,north and south,south and north,282,0.9290780141843972,12,500,500,118.93775177001952,118.74979400634766,14014.85546875,-0.0566884279251098,-0.0565190911293029,0.9970128507350636,0.124333344399929,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,development,research,development and research,research and development,70,0.0142857142857142,12,500,500,103.46247863769533,103.82745361328124,10705.6484375,-0.0429003275930881,-0.0432069711387157,1.007147813614295,0.0824751481413841,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,place,time,place and time,time and place,73,0.1232876712328767,12,500,500,82.85704803466797,84.13192749023438,6941.20947265625,-0.0275143012404441,-0.0283694602549076,1.03108052815844,0.0928727388381958,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,death,life,death and life,life and death,291,0.0171821305841924,12,500,500,120.4554443359375,120.3884048461914,14357.482421875,-0.0581431202590465,-0.0580896437168121,0.9990802601925014,0.1409445405006408,804.2651977539062
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,brothers,sisters,brothers and sisters,sisters and brothers,510,0.9490196078431372,12,500,500,114.74699401855467,112.99543762207033,12886.037109375,-0.0527673065662384,-0.0511742234230041,0.9698092768628532,0.1129082441329956,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,husband,wife,husband and wife,wife and husband,157,0.9872611464968152,12,500,500,63.31713104248047,63.15230178833008,3995.854248046875,-0.0160681251436471,-0.0159848220646381,0.9948156316767304,0.0373510681092739,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,gas,oil,gas and oil,oil and gas,61,0.2131147540983606,12,500,500,125.1150894165039,128.04922485351562,15894.470703125,-0.0627305507659912,-0.0657178536057472,1.0476211798442483,0.1262748092412948,215.1953582763672
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,pepper,salt,pepper and salt,salt and pepper,160,0.15,12,500,500,122.44935607910156,122.14639282226562,14839.0986328125,-0.0600860454142093,-0.0597985610365867,0.9952154551753106,0.125606507062912,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,fall,rise,fall and rise,rise and fall,88,0.0568181818181818,12,500,500,109.2448501586914,109.88352966308594,11935.32421875,-0.0478281751275062,-0.0483943447470665,1.0118375751960194,0.1069767773151397,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,arms,legs,arms and legs,legs and arms,265,0.7849056603773585,12,500,500,120.79725646972656,119.06974029541016,14261.12890625,-0.0584742203354835,-0.0568240545690059,0.97177960207062,0.1320773959159851,719.066650390625
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,fruits,vegetables,fruits and vegetables,vegetables and fruits,91,0.7912087912087912,12,500,500,125.5730209350586,124.93567657470705,15540.349609375,-0.0631909444928169,-0.062560811638832,0.9900281146445522,0.1378960311412811,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,arts,sciences,arts and sciences,sciences and arts,131,0.8854961832061069,12,500,500,110.83232879638672,112.84662628173828,12411.8857421875,-0.0492277480661869,-0.0510395169258117,1.036803813515681,0.1235530450940132,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,gentlemen,ladies,gentlemen and ladies,ladies and gentlemen,1026,0.0185185185185185,12,500,500,70.6027603149414,74.00594329833984,5218.00634765625,-0.0199785605072975,-0.0219514183700084,1.0987487492900367,0.0683897212147712,398.2840881347656
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,feelings,thoughts,feelings and thoughts,thoughts and feelings,32,0.09375,12,500,500,130.40757751464844,130.82418823242188,16958.17578125,-0.0681507363915443,-0.068597063422203,1.006549115303677,0.1093764677643776,1116.31787109375
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,diagnosis,treatment,diagnosis and treatment,treatment and diagnosis,2,1.0,12,500,500,102.96167755126952,104.93738555908205,10729.0341796875,-0.0424842163920402,-0.0441356860101223,1.0388725451081042,0.1186001002788543,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,groups,individuals,groups and individuals,individuals and groups,10,0.5,12,500,500,119.85004425048828,119.44839477539062,14162.4267578125,-0.0575604364275932,-0.0571860484778881,0.9934957416423332,0.1467098593711853,773.4161376953125
