model,model_size,checkpoint,step,tokens,word1,word2,phrase_AB,phrase_BA,overall_freq,rel_freq,layer,n_sentences_AB,n_sentences_BA,norm_AB,norm_BA,sum_sigma,self_sim_AB,self_sim_BA,self_sim_ratio,procrustes_dist,rotation_cost
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,knowledge,skills,knowledge and skills,skills and knowledge,14,0.8571428571428571,12,500,500,121.00578308105467,120.24725341796876,14394.05859375,-0.0586754418909549,-0.0579535141587257,0.9876962540210452,0.1472896039485931,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,heart,mind,heart and mind,mind and heart,37,0.4864864864864865,12,500,500,116.66949462890624,117.50738525390624,13592.228515625,-0.0545461550354957,-0.0553426258265972,1.0146017769828717,0.1305408775806427,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,influence,power,influence and power,power and influence,26,0.2307692307692307,12,500,500,124.93540954589844,125.34937286376952,15502.703125,-0.0625493079423904,-0.0629758089780807,1.00681863716355,0.1417963355779647,1039.28369140625
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,africa,asia,africa and asia,asia and africa,47,0.574468085106383,12,500,500,127.98328399658205,127.9239730834961,16233.421875,-0.0656383410096168,-0.0655893459916114,0.9992535609942031,0.1302017718553543,1014.0490112304688
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,addresses,names,addresses and names,names and addresses,25,0.04,12,500,500,115.11959838867188,115.8730010986328,13198.984375,-0.0531076230108737,-0.0538138374686241,1.0132977982766376,0.1446946263313293,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,poetry,prose,poetry and prose,prose and poetry,10,0.5,12,500,500,124.05924224853516,121.12406158447266,14869.1376953125,-0.0616740882396698,-0.0588017515838146,0.9534271727748438,0.1484838426113128,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,forefinger,thumb,forefinger and thumb,thumb and forefinger,16,0.1875,12,500,500,110.0450439453125,109.81542205810548,12000.5849609375,-0.0485284514725208,-0.0483343750238418,0.9960007698001888,0.1180886924266815,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,minerals,vitamins,minerals and vitamins,vitamins and minerals,14,0.0714285714285714,12,500,500,111.87201690673828,111.06671905517578,12337.580078125,-0.0501554235816001,-0.0494421422481536,0.9857785802110508,0.119447536766529,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,fall,winter,fall and winter,winter and fall,15,0.9333333333333332,12,500,500,124.53573608398438,123.66880798339844,15316.091796875,-0.0621532574295997,-0.0612984932959079,0.9862474764953396,0.1057215332984924,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,light,shadow,light and shadow,shadow and light,16,1.0,12,500,500,129.3631591796875,128.96951293945312,16569.595703125,-0.0670626610517501,-0.0666658729314804,0.9940833227604317,0.1172777786850929,120.29826354980467
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,honey,milk,honey and milk,milk and honey,21,0.1428571428571428,12,500,500,121.48674011230467,120.62481689453124,14518.666015625,-0.0591438636183738,-0.0583180151879787,0.9860366168209111,0.1367352604866027,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,nose,throat,nose and throat,throat and nose,6,0.6666666666666666,12,500,500,121.01932525634766,119.68482971191406,14400.3310546875,-0.0586924590170383,-0.0574126541614532,0.9781947310264584,0.1087710261344909,739.114013671875
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,anger,fear,anger and fear,fear and anger,4,0.25,12,500,500,116.9751434326172,115.3018569946289,13415.697265625,-0.0548365227878093,-0.0532846413552761,0.9716998570726614,0.1049055904150009,414.3245544433594
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,head,tail,head and tail,tail and head,20,0.9,12,500,500,103.1014175415039,104.89896392822266,10719.365234375,-0.042597759515047,-0.0441033765673637,1.0353449822116778,0.1331088542938232,518.137939453125
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,novels,stories,novels and stories,stories and novels,14,0.3571428571428571,12,500,500,127.2387237548828,126.52400970458984,15959.943359375,-0.0648790970444679,-0.0641616135835647,0.9889412230812736,0.1318109929561615,834.0833129882812
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,sunrise,sunset,sunrise and sunset,sunset and sunrise,11,0.6363636363636364,12,500,500,116.55307006835938,116.32061004638672,13503.21484375,-0.0544369034469127,-0.0542303957045078,0.996206475215727,0.0896193757653236,517.9181518554688
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,sympathy,understanding,sympathy and understanding,understanding and sympathy,6,1.0,12,500,500,110.9059829711914,111.53897094726562,12266.478515625,-0.0492916442453861,-0.0498634949326515,1.0116013717136028,0.1293395757675171,945.6630249023438
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,shoes,socks,shoes and socks,socks and shoes,156,0.5897435897435898,12,500,500,122.015380859375,122.40087127685548,14788.6484375,-0.0596596598625183,-0.0600479841232299,1.0065089922001993,0.1397095918655395,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,equipment,personnel,equipment and personnel,personnel and equipment,0,,12,500,500,114.70616149902344,115.111572265625,13067.1337890625,-0.0527251921594142,-0.053108911961317,1.0072777316911925,0.1437755674123764,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,eyes,face,eyes and face,face and eyes,29,0.2068965517241379,12,500,500,122.35347747802734,122.1283721923828,14856.5859375,-0.0599936917424202,-0.0597809180617332,0.9964533991073514,0.1075547486543655,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,ink,paper,ink and paper,paper and ink,24,0.2916666666666667,12,500,500,119.77427673339844,119.12532806396484,14119.3876953125,-0.057487953454256,-0.0568771250545978,0.9893746713362436,0.1448985934257507,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,muscles,nerves,muscles and nerves,nerves and muscles,10,0.4,12,500,500,120.98473358154295,120.12549591064452,14405.2216796875,-0.0586567148566246,-0.0578362084925174,0.9860117231912372,0.1334534287452697,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,charts,maps,charts and maps,maps and charts,4,0.5,12,500,500,114.72181701660156,116.23619842529295,13192.7548828125,-0.0527396947145462,-0.054151713848114,1.0267733657013065,0.1456045806407928,574.9247436523438
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,elbows,knees,elbows and knees,knees and elbows,15,0.4666666666666667,12,500,500,117.07445526123048,116.01818084716795,13486.1005859375,-0.0549260899424552,-0.0539487712085247,0.9822066574381229,0.1201912015676498,974.3869018554688
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,christmas,easter,christmas and easter,easter and christmas,12,0.6666666666666666,12,500,500,127.22083282470705,126.21416473388672,15965.01171875,-0.0648628547787666,-0.0638477578759193,0.984350104442526,0.1078036800026893,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,nature,size,nature and size,size and nature,1,1.0,12,500,500,87.44718170166016,85.86414337158203,7486.27783203125,-0.0306474044919013,-0.029549703001976,0.964182888955068,0.0799317508935928,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,gums,teeth,gums and teeth,teeth and gums,12,0.1666666666666666,12,500,500,129.1178436279297,127.1302719116211,16268.9814453125,-0.0668083503842353,-0.0647779777646064,0.969608999354847,0.1352303624153137,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,chairs,sofas,chairs and sofas,sofas and chairs,3,1.0,12,500,500,117.05689239501952,117.11433410644533,13567.521484375,-0.0549091920256614,-0.0549730136990547,1.001162313103486,0.1436529755592346,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,characters,situations,characters and situations,situations and characters,1,1.0,12,500,500,106.54484558105467,107.46292114257812,11315.16015625,-0.0454904697835445,-0.0462856851518154,1.0174809223130628,0.1528386175632476,834.80029296875
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,joy,pleasure,joy and pleasure,pleasure and joy,6,0.6666666666666666,12,500,500,120.0076904296875,120.93240356445312,14384.5283203125,-0.0577123947441577,-0.0586158148944377,1.0156538323229336,0.132675752043724,1183.5418701171875
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,thursday,tuesday,thursday and tuesday,tuesday and thursday,16,0.0,12,500,500,123.77029418945312,122.22019958496094,15012.037109375,-0.0613888353109359,-0.0598708428442478,0.9752724993233788,0.1248350292444229,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,barley,oats,barley and oats,oats and barley,5,0.0,12,500,500,116.46449279785156,115.16000366210938,13336.0556640625,-0.0543585456907749,-0.053153607994318,0.9778335185177444,0.1076529324054718,649.400146484375
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,beauty,dignity,beauty and dignity,dignity and beauty,2,0.5,12,500,500,109.9568328857422,110.7024917602539,12035.7861328125,-0.0484495125710964,-0.0491183996200561,1.0138058571379471,0.1495194882154464,54.99899291992188
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,boats,ships,boats and ships,ships and boats,21,0.6666666666666666,12,500,500,127.3724365234375,126.64490509033205,15999.73046875,-0.0650124996900558,-0.0642842948436737,0.9887990025017678,0.1281039863824844,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,misery,pain,misery and pain,pain and misery,10,0.0,12,500,500,115.81707763671876,115.31765747070312,13192.1484375,-0.0537526085972785,-0.053299244493246,0.9915657283271744,0.1569220423698425,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,bones,skulls,bones and skulls,skulls and bones,7,0.8571428571428571,12,500,500,119.7701416015625,120.6535186767578,14293.88671875,-0.0574842952191829,-0.0583457760512828,1.0149863685170908,0.1469576209783554,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,dairy,poultry,dairy and poultry,poultry and dairy,1,0.0,12,500,500,112.416748046875,112.96755981445312,12552.62890625,-0.0506426095962524,-0.0511489734053611,1.0099987700702178,0.1517657488584518,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,being,existence,being and existence,existence and being,0,,12,500,500,116.18762969970705,118.85562133789062,13743.375,-0.0541012324392795,-0.0566198714077472,1.0465541884151068,0.0993630290031433,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,radar,radio,radar and radio,radio and radar,1,1.0,12,500,500,117.49447631835938,118.85627746582033,13814.509765625,-0.0553199350833892,-0.0566204972565174,1.0235098282593365,0.1463919430971145,932.3547973632812
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,humility,pride,humility and pride,pride and humility,2,0.5,12,500,500,109.2434310913086,106.98155975341795,11601.9921875,-0.0478261746466159,-0.0458719618618488,0.9591392621465822,0.1237242296338081,520.7666015625
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,pitch,volume,pitch and volume,volume and pitch,4,0.5,12,500,500,116.2719497680664,115.63462829589844,13360.3125,-0.0541779622435569,-0.0535926520824432,0.9891965268371948,0.1127247512340545,447.4219665527344
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,skirt,sweater,skirt and sweater,sweater and skirt,2,1.0,12,500,500,93.08108520507812,92.12566375732422,8523.1796875,-0.0347220227122306,-0.0340165831148624,0.9796832228578736,0.1111576035618782,423.2554931640625
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,linen,silk,linen and silk,silk and linen,1,0.0,12,500,500,121.73480224609376,122.5142059326172,14777.0400390625,-0.0593864955008029,-0.0601592361927032,1.0130120608293818,0.1353601068258285,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,checks,money,checks and money,money and checks,1,0.0,12,500,500,110.88511657714844,110.6420440673828,12137.4580078125,-0.0492722988128662,-0.0490647740662097,0.9957882065246318,0.1463667303323745,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,calluses,corns,calluses and corns,corns and calluses,0,,12,500,500,121.6843490600586,120.19938659667967,14499.5439453125,-0.0593375638127327,-0.0579073838889598,0.9758975624903238,0.1330821961164474,773.1641845703125
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,action,motion,action and motion,motion and action,0,,12,500,500,123.82244873046876,125.02532196044922,15342.501953125,-0.0614407211542129,-0.062650628387928,1.019692269410026,0.1334383189678192,553.6951293945312
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,brain,intelligence,brain and intelligence,intelligence and brain,0,,12,500,500,113.91951751708984,114.1387710571289,12955.56640625,-0.05201031640172,-0.0522150583565235,1.0039365643004758,0.0850256457924842,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,conduct,manners,conduct and manners,manners and conduct,1,0.0,12,500,500,110.30868530273438,113.85887908935548,12476.9482421875,-0.0487644672393798,-0.051959291100502,1.0655154058269325,0.1171624064445495,599.0588989257812
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,completeness,unity,completeness and unity,unity and completeness,0,,12,500,500,101.25321197509766,101.9939422607422,10208.5400390625,-0.0410833172500133,-0.0416944399476051,1.0148752033306556,0.1512236148118972,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,hostility,indifference,hostility and indifference,indifference and hostility,0,,12,500,500,104.99800872802734,104.50823974609376,10845.1806640625,-0.0441797114908695,-0.0437754355370998,0.9908492848837812,0.1531551927328109,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,depth,force,depth and force,force and depth,1,0.0,12,500,500,111.50439453125,111.78809356689452,12335.0166015625,-0.0498247481882572,-0.0500864833593368,1.0052531157827571,0.144179493188858,1175.0521240234375
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,hours,miles,hours and miles,miles and hours,0,,12,500,500,123.19007873535156,122.49767303466795,14945.791015625,-0.0608148388564586,-0.0601430051028728,0.9889527989185084,0.1389927566051483,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,movements,speech,movements and speech,speech and movements,1,1.0,12,500,500,119.48931884765624,117.7116241455078,13983.2607421875,-0.057218562811613,-0.0555351786315441,0.9705797542379496,0.1098507046699523,749.9033203125
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,schools,synagogues,schools and synagogues,synagogues and schools,0,,12,500,500,117.0399169921875,117.96955108642578,13675.85546875,-0.0548921637237072,-0.0557788126170635,1.0161525586387732,0.1375863403081894,199.6778717041016
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,arrangers,composers,arrangers and composers,composers and arrangers,0,,12,500,500,114.61415100097656,113.8803482055664,12982.361328125,-0.0526436306536197,-0.0519788935780525,0.9873728869511104,0.104054182767868,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,happiness,laughter,happiness and laughter,laughter and happiness,0,,12,500,500,125.25762176513672,125.15180206298828,15503.419921875,-0.0628722235560417,-0.0627774447202682,0.998492516561165,0.1485433429479599,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,diagrams,sketches,diagrams and sketches,sketches and diagrams,0,,12,500,500,104.49201965332033,104.3093719482422,10762.7236328125,-0.0437540300190448,-0.0436089970171451,0.9966852652924408,0.1585692316293716,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,pail,shovel,pail and shovel,shovel and pail,20,0.95,12,500,500,107.8327407836914,108.54969024658205,11610.83984375,-0.0465980134904384,-0.0472265928983688,1.013489403535611,0.12673419713974,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,candies,cookies,candies and cookies,cookies and candies,0,,12,500,500,117.6357650756836,118.87284088134766,13838.83984375,-0.0554529763758182,-0.0566362775862216,1.021338822327298,0.1435646116733551,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,county,village,county and village,village and county,2,0.0,12,500,500,99.64387512207033,98.84767150878906,9813.0400390625,-0.0397915095090866,-0.0391617715358734,0.9841740617286864,0.0868409723043441,171.04837036132812
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,charm,variety,charm and variety,variety and charm,0,,12,500,500,109.43238067626952,108.6650619506836,11768.5380859375,-0.0479897819459438,-0.0473270341753959,0.9861898149215516,0.1444732844829559,958.6133422851562
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,bouquets,wreaths,bouquets and wreaths,wreaths and bouquets,1,0.0,12,500,500,110.49604034423828,110.92768096923828,12124.478515625,-0.0489259883761405,-0.0493184365332126,1.0080212617076827,0.1468532830476761,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,beech,elm,beech and elm,elm and beech,1,1.0,12,500,500,117.31207275390624,122.33439636230467,14222.45703125,-0.0551510006189346,-0.0599827840924263,1.0876100781357865,0.1374924033880233,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,complexity,obscurity,complexity and obscurity,obscurity and complexity,0,,12,500,500,109.29080963134766,110.04800415039062,11898.6005859375,-0.047865804284811,-0.048539325594902,1.014071032967156,0.1459131687879562,720.068603515625
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,devotion,effort,devotion and effort,effort and devotion,0,,12,500,500,107.00871276855467,107.726806640625,11452.033203125,-0.0458893924951553,-0.0465132854878902,1.0135955818722329,0.1143938302993774,806.0512084960938
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,alibis,excuses,alibis and excuses,excuses and alibis,0,,12,500,500,107.23919677734376,107.80064392089844,11459.732421875,-0.0460865013301372,-0.0465770661830902,1.0106444368479792,0.1317631006240844,1189.1063232421875
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,body,mind,body and mind,mind and body,102,0.392156862745098,12,500,500,123.24410247802734,124.19039154052734,15175.763671875,-0.0608671605587005,-0.061816643923521,1.0155992715300854,0.1300456076860427,165.21495056152344
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,man,woman,man and woman,woman and man,124,0.9516129032258064,12,500,500,79.18385314941406,72.17139434814453,5709.59619140625,-0.0251301694661378,-0.0208765938878059,0.8307382851491111,0.1069695502519607,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,law,order,law and order,order and law,117,1.0,12,500,500,131.4387664794922,133.1175079345703,17335.201171875,-0.0692322105169296,-0.0710231214761734,1.025868175317121,0.1356396377086639,151.31857299804688
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,cause,effect,cause and effect,effect and cause,46,1.0,12,500,500,97.08847045898438,99.10694885253906,9578.3701171875,-0.0377764068543911,-0.0393674820661544,1.0421182252165,0.0965804010629654,874.5819702148438
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,radio,television,radio and television,television and radio,203,0.6798029556650246,12,500,500,116.40621185302734,113.4815673828125,13126.5048828125,-0.0543037466704845,-0.0516154915094375,0.9504959542228396,0.1167252734303474,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,b,c,b and c,c and b,32,0.90625,12,500,500,117.02526092529295,118.0416259765625,13646.8623046875,-0.0548797659575939,-0.0558469966053962,1.017624540318735,0.1550586819648742,976.1858520507812
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,feet,hands,feet and hands,hands and feet,245,0.1591836734693877,12,500,500,116.11490631103516,115.44402313232422,13309.8193359375,-0.054029393941164,-0.0534161180257797,0.988649217201064,0.1195119246840477,862.4041137695312
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,money,time,money and time,time and money,80,0.225,12,500,500,124.0584945678711,126.48490142822266,15550.93359375,-0.0616749413311481,-0.0641219615936279,1.039676085775925,0.1339548379182815,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,blood,flesh,blood and flesh,flesh and blood,140,0.0071428571428571,12,500,500,124.14933776855467,124.25743865966795,15299.892578125,-0.0617638304829597,-0.0618834048509597,1.0019359933971876,0.1280546635389328,0.0
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-24,24,39321600,god,man,god and man,man and god,31,0.9032258064516128,12,500,500,116.95299530029295,117.71719360351562,13647.1796875,-0.0548117943108081,-0.0555404238402843,1.0132932982515497,0.1318715214729309,0.0
