phrase_AB,phrase_BA,freq_AB,freq_BA,overall_freq,rel_freq,word1_freq,word2_freq
light and shadow,shadow and light,433285,65339,498624,0.8689613817225004,454245346,29162190
honey and milk,milk and honey,24729,242346,267075,0.09259196854816062,28000920,73258813
nose and throat,throat and nose,312497,26749,339246,0.9211516126940332,35851033,19281133
anger and fear,fear and anger,106837,148696,255533,0.41809472749116555,31130669,133949701
head and tail,tail and head,212937,20415,233352,0.9125141417258048,480352149,66696050
novels and stories,stories and novels,51763,93953,145716,0.35523209530868266,19646982,145854532
sunrise and sunset,sunset and sunrise,417765,90937,508702,0.8212371879803892,6135124,13160989
sympathy and understanding,understanding and sympathy,36099,15982,52081,0.6931318523069834,9484805,168308104
shoes and socks,socks and shoes,185890,111879,297769,0.6242758648482548,56904122,13711337
equipment and personnel,personnel and equipment,97834,128213,226047,0.4328037974403553,143594627,39132548
eyes and face,face and eyes,66241,93736,159977,0.4140657719547185,174969093,294547561
ink and paper,paper and ink,94977,134549,229526,0.4137962583759574,21820152,274465797
muscles and nerves,nerves and muscles,83643,90117,173760,0.48137085635359117,37466225,11911864
charts and maps,maps and charts,35578,51349,86927,0.4092859525809012,22172150,43223962
elbows and knees,knees and elbows,102014,94113,196127,0.5201425606877177,4201473,17304526
christmas and easter,easter and christmas,2324,988,3312,0.7016908212560387,4964097,1950645
nature and size,size and nature,34800,80764,115564,0.30113184036551177,171819532,310435195
gums and teeth,teeth and gums,135887,685991,821878,0.16533719116462542,5136456,54313430
chairs and sofas,sofas and chairs,48799,73138,121937,0.4001984631408022,23685071,2638985
characters and situations,situations and characters,102150,16759,118909,0.8590602898014448,138104675,70566142
joy and pleasure,pleasure and joy,83067,48972,132039,0.6291095812600822,63016276,47525958
thursday and tuesday,tuesday and thursday,122,5785,5907,0.020653461994244116,2126680,2086616
barley and oats,oats and barley,24815,25478,50293,0.49340862545483466,4716882,5511712
beauty and dignity,dignity and beauty,13816,9337,23153,0.5967261262039476,79040303,11615552
boats and ships,ships and boats,39408,41017,80425,0.48999689151383274,20633928,30532567
misery and pain,pain and misery,22586,77168,99754,0.22641698578503117,6048754,228969348
bones and skulls,skulls and bones,16853,28247,45100,0.37368070953436805,24540486,2042876
dairy and poultry,poultry and dairy,18693,17829,36522,0.511828486939379,19501846,6975183
being and existence,existence and being,8207,6653,14860,0.5522880215343203,1170818231,55640009
radar and radio,radio and radar,8774,9507,18281,0.4799518625895739,15900142,84190210
humility and pride,pride and humility,5371,12789,18160,0.29575991189427314,5745688,31656189
pitch and volume,volume and pitch,24027,13652,37679,0.637676159133735,80258697,104753663
skirt and sweater,sweater and skirt,6133,5962,12095,0.5070690367920628,11213693,7059732
linen and silk,silk and linen,14320,14144,28464,0.5030916245081506,6629766,12083233
checks and money,money and checks,28401,3044,31445,0.9031960566067737,35444559,519542594
calluses and corns,corns and calluses,6957,25084,32041,0.2171280546799413,402738,415251
action and motion,motion and action,5108,6024,11132,0.4588573481854114,280016406,75139815
brain and intelligence,intelligence and brain,3180,3612,6792,0.46819787985865724,121446119,51180439
conduct and manners,manners and conduct,1307,2240,3547,0.36848040597688186,104014104,5496164
completeness and unity,unity and completeness,1032,1564,2596,0.3975346687211094,4119865,15861645
hostility and indifference,indifference and hostility,1755,2724,4479,0.39182853315472205,3957195,2972258
depth and force,force and depth,2016,1849,3865,0.5216041397153945,73126468,150076565
hours and miles,miles and hours,10678,10675,21353,0.5000702477403643,339885344,112385650
movements and speech,speech and movements,5549,2436,7985,0.6949279899812147,36894558,78770878
schools and synagogues,synagogues and schools,5635,4153,9788,0.5757049448304046,140446205,1004253
arrangers and composers,composers and arrangers,2816,12574,15390,0.1829759584145549,197084,4956635
happiness and laughter,laughter and happiness,19445,23829,43274,0.4493460276378426,33649045,12038270
diagrams and sketches,sketches and diagrams,3424,4682,8106,0.4224031581544535,8889143,6098159
pail and shovel,shovel and pail,3818,1905,5723,0.6671326227503058,758336,3321659
candies and cookies,cookies and candies,7445,15777,23222,0.32060115407802947,2767503,48350756
county and village,village and county,1900,2447,4347,0.43708304577869794,57307251,67561624
charm and variety,variety and charm,1255,1217,2472,0.5076860841423948,18304553,178911877
bouquets and wreaths,wreaths and bouquets,1627,2137,3764,0.4322529224229543,1666810,1214695
beech and elm,elm and beech,1177,1078,2255,0.5219512195121951,1417160,1525654
complexity and obscurity,obscurity and complexity,1109,435,1544,0.7182642487046632,31895809,1769696
devotion and effort,effort and devotion,1604,5090,6694,0.23961756797131759,7666636,151537357
alibis and excuses,excuses and alibis,718,803,1521,0.4720578566732413,114456,8462598
body and mind,mind and body,2296360,2296192,4592552,0.500018290484245,435962134,366241062
man and woman,woman and man,1311038,80306,1391344,0.9422817074713371,589621659,186645355
law and order,order and law,1507906,9073,1516979,0.994019033882473,353894550,551957287
cause and effect,effect and cause,1590083,17235,1607318,0.9892771685503429,239797932,278039267
radio and television,television and radio,914794,609879,1524673,0.5999935723922442,84190210,62657722
b and c,c and b,269928,21116,291044,0.9274473962699799,1711573733,1508061731
feet and hands,hands and feet,204463,1570752,1775215,0.11517647158231538,137524027,177295048
money and time,time and money,1628252,8981145,10609397,0.15347262431597197,519542594,2768150129
blood and flesh,flesh and blood,37125,873939,911064,0.04074905824398725,226453583,18402371
god and man,man and god,11258,8203,19461,0.5784903139612558,51696640,589621659
file and rank,rank and file,1315,617752,619067,0.0021241642665495012,375349163,54962099
brother and sister,sister and brother,1497965,400880,1898845,0.788882188909574,88764640,98229304
father and son,son and father,1057865,26302,1084167,0.9757398998493775,145099569,159800229
men and officers,officers and men,25961,243156,269117,0.09646733576845759,314631599,60858946
south and west,west and south,385915,253854,639769,0.6032099085763768,88794277,55847568
error and trial,trial and error,3749,3146716,3150465,0.0011899830659918456,186179492,97647085
arts and crafts,crafts and arts,1813593,22789,1836382,0.9875902726121254,51012628,14560284
pressure and temperature,temperature and pressure,394193,535343,929536,0.4240750223767557,182525040,127204068
days and nights,nights and days,938342,49436,987778,0.949952317221076,555777321,37593207
land and sea,sea and land,530327,134466,664793,0.7977325272678863,274048818,102400717
north and west,west and north,410483,212507,622990,0.6588917960159875,87396085,55847568
spring and summer,summer and spring,2174915,69198,2244113,0.9691646543645529,96732443,179917443
magazines and newspapers,newspapers and magazines,316032,619361,935393,0.33786012937877447,18131272,17101767
hands and knees,knees and hands,593439,19588,613027,0.9680470843861689,177295048,17304526
moon and sun,sun and moon,51683,332434,384117,0.13455015008447946,36671506,180219384
fathers and mothers,mothers and fathers,182413,585860,768273,0.2374325272396661,10472556,23106265
city and county,county and city,622296,143849,766145,0.8122431132487975,349744382,57307251
ears and eyes,eyes and ears,130090,952602,1082692,0.12015420821433981,27753443,174969093
college and school,school and college,29893,1477667,1507560,0.019828729868131285,151838764,509658955
college and university,university and college,564506,134670,699176,0.8073875533485131,151838764,84695905
dark and light,light and dark,328854,917003,1245857,0.26395806260269034,150039864,454245346
future and past,past and future,59019,819616,878635,0.06717123720316172,379049490,446592596
evening and morning,morning and evening,47175,937065,984240,0.04793038283345526,97378241,195436933
ice and snow,snow and ice,633751,1245997,1879748,0.3371467877609126,97589244,89454570
husbands and wives,wives and husbands,252520,34545,287065,0.8796614007280581,6308630,9506050
boys and men,men and boys,214659,428235,642894,0.33389485669488284,62729893,314631599
bread and butter,butter and bread,1136800,16824,1153624,0.9854163921693724,62396748,63676537
head and shoulders,shoulders and head,730993,31015,762008,0.9592983275766134,480352149,22506091
rock and roll,roll and rock,1990225,5080,1995305,0.9974540233197431,113672854,106900825
testament and will,will and testament,827,274602,275429,0.003002588688918015,7948330,5126160465
engineers and scientists,scientists and engineers,224443,602663,827106,0.2713594146336745,28468841,43200818
man and wife,wife and man,155502,1524,157026,0.9902946008941195,589621659,143534863
arms and hands,hands and arms,227836,266733,494569,0.46067586120440224,61321568,177295048
math and science,science and math,835655,341331,1176986,0.709995700883443,49967843,135962104
son and wife,wife and son,49106,478273,527379,0.09311330181899545,159800229,143534863
fingers and thumb,thumb and fingers,91048,39017,130065,0.7000192211586515,35126540,21792793
flesh and skin,skin and flesh,20670,48555,69225,0.29859154929577464,18402371,203825470
life and religion,religion and life,14080,9123,23203,0.6068180838684653,913377829,51626041
colonel and mrs.,mrs. and colonel,87,0,87,1.0,1705388,314244
conscience and religion,religion and conscience,36480,9549,46029,0.7925438310630255,8298715,51626041
contemporary and friend,friend and contemporary,7171,8075,15246,0.4703528794437885,48360777,215199816
pain and pressure,pressure and pain,58341,45903,104244,0.5596581098192702,228969348,182525040
integrity and unity,unity and integrity,8287,34319,42606,0.19450312162606206,30388760,15861645
flowers and hearts,hearts and flowers,6871,37488,44359,0.15489528618769585,58361334,32617386
grapefruit and oranges,oranges and grapefruit,5347,14912,20259,0.26393207956957404,2988378,4890199
kingston and montreal,montreal and kingston,31,35,66,0.4696969696969697,192099,446831
folklore and legend,legend and folklore,7729,7689,15418,0.501297185108315,3342696,40703300
doctors and fathers,fathers and doctors,330,1441,1771,0.18633540372670807,49510401,10472556
contraction and dilation,dilation and contraction,2526,2834,5360,0.47126865671641793,6897240,1937785
ships and weapons,weapons and ships,10757,4576,15333,0.7015587295375987,30532567,50135395
funnels and masts,masts and funnels,552,794,1346,0.4101040118870728,1281291,777006
law and sovereignty,sovereignty and law,2737,1443,4180,0.6547846889952154,353894550,7140108
assurance and dignity,dignity and assurance,210,392,602,0.3488372093023256,13145535,11615552
mr. and mrs.,mrs. and mr.,6515,61,6576,0.9907238442822385,1828763,314244
bride and groom,groom and bride,1573023,81251,1654274,0.9508841945167488,17914236,7256097
feet and legs,legs and feet,238313,388916,627229,0.3799457614364132,137524027,50611688
peace and quiet,quiet and peace,1296642,344567,1641209,0.7900529426782329,113309965,59041569
daughter and son,son and daughter,394324,697343,1091667,0.3612127141335224,109464999,159800229
ends and odds,odds and ends,375,533297,533672,0.0007026787989626587,73870488,35875543
city and state,state and city,495066,194921,689987,0.7175004746466238,349744382,569019032
facts and figures,figures and facts,711606,14398,726004,0.9801681533435077,62907319,61628107
man and nature,nature and man,155227,55304,210531,0.737311844811453,589621659,171819532
prose and verse,verse and prose,35819,23413,59232,0.6047237979470557,7014675,16169782
